lr-SGD,step,train_loss,epoch,val_loss,val_acc,test_loss,test_acc
,13499,178.44374084472656,85,,,,
,13501,,85,177.44749450683594,0.45019999146461487,,
0.01893140117229418,13549,,,,,,
,13549,176.7001953125,86,,,,
0.01903564777517336,13599,,,,,,
,13599,178.73439025878906,86,,,,
0.019140189486685208,13649,,,,,,
,13649,176.83790588378906,86,,,,
,13658,,86,177.41644287109375,0.447299987077713,,
0.01924502537093506,13699,,,,,,
,13699,177.85838317871094,87,,,,
0.0193501544893947,13749,,,,,,
,13749,177.1192626953125,87,,,,
0.019455575900910807,13799,,,,,,
,13799,177.8250274658203,87,,,,
,13815,,87,177.39930725097656,0.4970000088214874,,
0.019561288661713305,13849,,,,,,
,13849,176.88314819335938,88,,,,
0.01966729182542387,13899,,,,,,
,13899,176.44400024414062,88,,,,
0.0197735844430644,13949,,,,,,
,13949,177.27764892578125,88,,,,
,13972,,88,176.95706176757812,0.5041999816894531,,
0.019880165563065474,13999,,,,,,
,13999,177.2355499267578,89,,,,
0.01998703423127493,14049,,,,,,
,14049,175.9781494140625,89,,,,
0.020094189490966335,14099,,,,,,
,14099,176.65354919433594,89,,,,
,14129,,89,176.58848571777344,0.5156000256538391,,
0.020201630382847627,14149,,,,,,
,14149,176.19532775878906,90,,,,
0.02030935594506962,14199,,,,,,
,14199,175.6573944091797,90,,,,
0.020417365213234687,14249,,,,,,
,14249,176.07608032226562,90,,,,
,14286,,90,176.45994567871094,0.517300009727478,,
0.02052565722040535,14299,,,,,,
,14299,176.28530883789062,91,,,,
0.02063423099711295,14349,,,,,,
,14349,175.95706176757812,91,,,,
0.02074308557136635,14399,,,,,,
,14399,175.1578369140625,91,,,,
,14443,,91,176.1239013671875,0.536300003528595,,
0.020852219968660574,14449,,,,,,
,14449,175.9918212890625,92,,,,
0.020961633211985617,14499,,,,,,
,14499,175.48646545410156,92,,,,
0.02107132432183509,14549,,,,,,
,14549,175.37782287597656,92,,,,
0.021181292316215086,14599,,,,,,
,14599,174.25897216796875,92,,,,
,14600,,92,174.73583984375,0.5418999791145325,,
0.021291536210652925,14649,,,,,,
,14649,174.41064453125,93,,,,
0.021402055018205954,14699,,,,,,
,14699,173.8311767578125,93,,,,
0.021512847749470418,14749,,,,,,
,14749,173.65359497070312,93,,,,
,14757,,93,174.37252807617188,0.5638999938964844,,
